title,price,review_count,review_avg
"
MSI GT63 Titan 9SF-038ES Intel Core i7-9750H/32GB/512GB SSD + 1TB/RTX 2070/15.6""
",2699.0,1,5.0
"
MSI GS75 Stealth 9SG-267ES Intel Core i7-9750H/32GB/2TB SSD/RTX 2080/17.3""
",3349.0,1,5.0
"
Lenovo V145-15AST AMD A4-9125/4GB/500GB/15.6""
",260.0,7,4.1
"
Medion Akoya E4251 MD 61202 Intel Celeron N4000/4GB/64GB/14""
",299.0,19,4.2
"
Asus Vivobook Pro N580GD-E4189T Intel Core i7-8750H/8GB/1TB+16GB Intel Optane/GTX1050/15.6""
",899.0,1,5.0
"
MSI GE75 Raider 8SF-032ES Intel Core i7-8750H/16GB/256GB SSD + 1TB/RTX 2070/17.3""
",1999.0,4,4.5
"
Lenovo Legion Y530-15ICH Intel Core i7-8750H/16GB/1TB + 256GB SSD/GTX1060/15.6""
",1599.0,6,4.3
"
MSI GE75 Raider 9SE-409ES Intel Core i7-9750H/16GB/1TB SSD/RTX 2060/17.3""
",1999.0,1,5.0
"
MSI GS65 Stealth 8SF-036ES Intel Core i7-8750H/16GB/512GB SSD/RTX 2070/15.6""
",1899.0,2,4.5
"
Gigabyte Aero 15-WA-7ES0250P Intel Core i7-9750H/16GB/512GB SSD/RTX 2060/15.6""
",1899.0,3,4.7
"
HP OMEN 17-AN112NS Intel Core i7-8750H/16GB/1TB+512 GB SSD/GTX 1050Ti/17.3""
",1249.0,56,4.7
"
MSI PE62 8RC-009XES Intel Core i7-8750H/8GB/1TB+256GB SSD/GTX 1050/15.6""
",898.0,1,5.0
"
Gigabyte Aero 15-X9-7ES4210P Intel Core i7-8750H/32GB/1TB SSD/RTX2070Q/15.6""
",2749.0,1,5.0
"
MSI GT76 Titan DT 9SF-009ES Intel Core i7-9700K/64GB/2TB SSD/RTX 2070/17.3""
",3749.0,1,4.0
"
MSI GL73 8RD-291XES Intel Core i7-8750H/16GB/1TB+512GB SSD/GTX 1050Ti/17.3""
",1239.0,25,4.6
"
MSI GE63 Raider RGB 8SG-029E Intel Core i7-8750H/16GB/1TB + 512GB SSD/RTX 2080/15.6""
",2189.0,2,5.0
"
Asus ZenBook 14 UX480FD-BE012T Intel Core i7-8565U/16GB/512GB SSD/GTX 1050/ 14"" 
",1399.0,1,3.0
"
MSI WE63 8SJ-622ES Intel Core i7-8750H/16GB/256GB SSD+1TB/P2000/15.6""
",1699.0,1,4.0
"
Acer Aspire 7 A717-72G-7600 Intel Core i7-8750H/8GB/1TB/GF GTX1050/17.3""
",899.0,7,4.6
"
Lenovo Legion Y530-15ICH Intel Core i7-8750H/16GB/1TB + 256GB SSD/GTX1050/15.6""
",1399.0,6,4.7
"
MSI P75 Creator 9SF-298ES Intel Core i9-9880H/32GB/1TB SSD/RTX 2070/17.3""
",2999.0,1,4.0
"
Asus G703GXR-EV005T Intel Core i7-9750H/32GB/1TB SSD/RTX 2080/17.3""
",2999.0,1,5.0
"
Lenovo Ideapad 720S-13IKB Intel Core i7-7500U/8GB/512GB SSD/13.3"" Gris Metálico
",1239.0,8,4.1
"
MSI WS63 8SJ-061XES Intel Core i7-8750H/16GB/256GB SSD+1TB/P2000/15.6""
",1559.0,1,5.0
"
HP OMEN 17-AN100NS Intel Core i7-8750H/16GB/1TB+16GB SSD/GTX 1070/17.3""
",1499.0,12,4.6
"
Apple MacBook Pro Intel Core i5/8GB/512GB SSD/13"" Plata
",1999.0,2,5.0
"
Apple MacBook Pro Intel Core i5/8GB/512GB SSD/13"" Gris Espacial
",1999.0,8,4.8
"
Medion Akoya S4401 Intel Core i5-8250U/8GB/256GB/14"" Táctil
",689.0,5,4.0
